Importer,Exporter,total
CN,IT,2
CN,MY,1
CN,MY,1
CN,MY,2500
CN,SG,10
CN,SG,5
CN,SG,5
CN,SG,144
CN,SG,7548
CN,TH,1300
DE,MY,2
DE,MY,2
FR,AE,3
FR,CA,1
FR,CH,7
FR,CH,2
FR,CH,2
FR,CN,2
FR,CN,1
FR,CN,14
FR,HK,2
FR,KR,1
FR,KR,1
FR,MC,22
FR,MO,2
FR,MY,26
FR,SG,4654
FR,SG,45
FR,SG,2175
FR,SG,2
FR,SG,1030
FR,TH,7486
FR,TR,2
GB,MY,1
GB,SG,1
HK,CH,3
HK,FR,2
HK,FR,1
HK,FR,1
HK,FR,67
HK,FR,554
HK,FR,42
HK,FR,2
HK,IT,2
HK,IT,14
HK,IT,2
HK,IT,9
HK,IT,2
HK,MY,35.4
HK,MY,109
HK,MY,15
HK,MY,3139
HK,MY,95.5
HK,MY,90
HK,SG,44
HK,SG,10
HK,SG,14
HK,SG,11040
HK,SG,48
HK,TH,24
HK,TH,3
HK,TH,100
HK,TH,312
HK,TH,1
ID,FR,1
ID,FR,5
ID,IT,1
IT,CH,1
IT,CH,1
IT,CN,12
IT,CN,1
IT,MY,13
IT,MY,1
IT,SG,18
IT,SG,276
IT,TH,85
JP,BD,600
JP,CH,12
JP,FR,42
JP,FR,2
JP,FR,1
JP,FR,117
JP,GB,3
JP,IT,16
JP,SG,151
KP,CN,1
KR,ES,5
KR,ES,4
KR,ES,52
KR,FR,4
KR,FR,3
KR,FR,7
KR,FR,37
KR,FR,148
KR,FR,2
KR,FR,15
KR,HK,1
KR,IT,16
KR,IT,3
KR,IT,4
KR,PH,20
KR,SG,16
KW,FR,2
KW,IT,1
KZ,FR,2
KZ,FR,1
LB,FR,1
LB,FR,2
LB,FR,16
LB,IT,2
MC,FR,15
MC,FR,1
MC,IT,6
MO,FR,52
MO,FR,283
MO,IT,2
MO,IT,4
MY,FR,2
MY,FR,15
MY,FR,21
MY,SG,412
MY,SG,230
MY,SG,2
PH,SG,206
QA,FR,9
RU,FR,7
RU,FR,3
RU,FR,20
RU,IT,4
RU,IT,1
RU,IT,1
RU,IT,2
RU,IT,8
SA,GB,1
SA,IT,3
SG,CN,5
SG,CN,5
SG,FR,5
SG,FR,10
SG,FR,4
SG,FR,4
SG,FR,5
SG,FR,85
SG,FR,146
SG,HK,44
SG,HK,10
SG,IT,4
SG,IT,4
SG,MY,1210
SG,MY,5510
SG,MY,220
SG,MY,8718
SG,MY,130
SG,PH,7141
SG,PH,3474
SG,PH,3678
TH,FR,3
TH,FR,10
TH,FR,37
TH,FR,42
TH,IT,3
TH,MY,1
TH,MY,3100
TH,MY,500
TH,MY,200
TH,SG,100
TH,SG,2
TM,IT,12
TR,FR,2
TR,FR,1
TR,FR,3
TR,FR,2
TR,FR,19
TR,FR,44
TR,FR,13
TR,IT,2
TR,MY,1
UA,FR,1
UA,IT,1
UA,IT,12
US,GB,3
US,GB,3
US,TH,1
VN,FR,3
VN,FR,10
VN,MY,30
XX,IT,4
XX,IT,1
XX,MC,10
XX,MC,1
XX,MC,6
XX,MC,10
XX,MC,1
ZA,IT,12
KP,CU,4
NO,DK,10
SG,IT,1
AE,IT,1
AE,IT,30
AM,IT,15
AZ,IT,33
BE,TH,1
BH,IT,4
BL,IT,42
CA,RO,2
CG,FR,1
CH,IT,18
CH,IT,1
CH,IT,1
CH,IT,25
CH,IT,2
CH,IT,55
CH,JP,3
CH,SG,2
CN,FR,8
CN,FR,105
CN,IT,1
CN,IT,24
CN,IT,1
CN,IT,4
CN,JP,100
CN,KH,2000
CN,SG,20
CN,SG,1
CN,SG,3913
CN,SG,3600
CN,TH,1300
CN,TH,100
CN,TH,4
CN,TH,100
CN,TH,10600
CN,VN,7500
CN,VN,49500
CN,VN,25
CN,VN,10710
CY,TR,4
DE,SG,7
DE,TH,1
DE,TH,1
DE,TH,2
DE,TH,1
DE,TH,125
DE,VN,98
DK,VN,6
ES,TH,17
FR,HK,21
FR,HK,7
FR,JP,22
FR,TH,4388
FR,TR,236
FR,VN,3
GB,TH,1
HK,FR,8
HK,FR,143
HK,IT,1
HK,IT,22
HK,IT,4
HK,SG,23
HK,SG,10.53
HK,SG,18.06
HK,SG,314
HK,SG,300
HK,SG,10
HK,TH,300
HK,TH,41
HK,TH,262878.49
HK,TH,18
HK,TR,8
HK,VN,1000
HU,TH,10
IL,FR,10
IN,CN,160
IN,HK,160
IT,AE,2
IT,CH,4
IT,CH,115
IT,CN,1
IT,CN,6
IT,KR,1
IT,SG,18
IT,SG,100
IT,TH,2
IT,TH,150
IT,TR,13
IT,VN,100
JP,FR,4
JP,IT,84
JP,IT,2
JP,KH,20
JP,SG,3
JP,TH,1
JP,TH,30
JP,TH,2
JP,TH,5
JP,TH,2
JP,TH,17
JP,TH,1511
JP,TH,13340
JP,TH,12
JP,TH,5267
JP,TH,0.5
JP,VN,35
JP,VN,82
JP,VN,2174
KR,CN,2
KR,ES,21
KR,FR,85
KR,FR,281
KR,FR,30
KR,IT,22
KR,IT,16
KR,IT,8
KR,JP,827
KR,JP,32
KR,SG,104
KR,SG,774
MG,FR,2
MG,FR,2
MO,FR,2
MO,FR,4
MX,IT,254
MX,IT,1
NL,TH,50
NL,VN,189
NL,VN,4
NZ,TH,1
NZ,TH,1
QA,IT,44
RU,FR,3
RU,FR,16
RU,IT,2
RU,IT,1
RU,IT,2
RU,IT,523
