Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Aves,Psittaciformes,SA,KW,,3,live,T,C
2016,I,Aves,Psittaciformes,US,SG,,36,specimens,M,C
2016,I,Aves,Psittaciformes,ZA,PL,,1,live,Z,U
2016,I,,Caryophyllales,BE,US,,20,seeds,T,D
2016,I,,Caryophyllales,CA,US,,40,seeds,T,D
2016,I,,Caryophyllales,CH,DE,,100,seeds,T,D
2016,I,,Caryophyllales,CH,US,,10,seeds,T,D
2016,I,,Caryophyllales,IN,US,,200,seeds,T,D
2016,I,,Caryophyllales,JP,US,,20,seeds,T,D
2016,I,,Caryophyllales,NZ,US,,10,seeds,T,D
2016,I,,Caryophyllales,US,MT,,150,seeds,T,D
2016,I,,Caryophyllales,US,MX,90,,live,T,I
2016,I,,Caryophyllales,AU,US,,200,seeds,T,D
2016,I,,Caryophyllales,BE,US,,20,seeds,T,D
2016,I,,Caryophyllales,CH,DE,,18,live,T,D
2016,I,,Caryophyllales,CH,DE,,100,seeds,T,D
2016,I,,Caryophyllales,CH,US,,10,seeds,T,D
2016,I,,Caryophyllales,CN,DE,,200,seeds,T,D
2016,I,,Caryophyllales,HK,US,,100,seeds,T,D
2016,I,,Caryophyllales,JP,US,,10,seeds,T,D
2016,I,,Caryophyllales,NZ,US,,10,seeds,T,D
2016,I,,Caryophyllales,AT,US,,10,seeds,T,D
2016,I,,Caryophyllales,BE,US,,60,seeds,T,D
2016,I,,Caryophyllales,CA,US,,2080,seeds,T,D
2016,I,,Caryophyllales,CH,DE,,100,seeds,T,D
2016,I,,Caryophyllales,CH,US,,60,seeds,T,D
2016,I,,Caryophyllales,CN,DE,,100,seeds,T,D
2016,I,,Caryophyllales,CN,IT,,64,live,T,D
2016,I,,Caryophyllales,HK,US,,9,live,T,I
2016,I,,Caryophyllales,HK,US,,200,seeds,T,D
2016,I,,Caryophyllales,IN,US,,100,seeds,T,D
2016,I,,Caryophyllales,JP,US,,20,seeds,T,D
2016,I,,Caryophyllales,KR,US,,150,live,T,D
2016,I,,Caryophyllales,PL,US,,130,seeds,T,D
2016,I,,Caryophyllales,SG,IT,,2,live,T,D
2016,I,,Caryophyllales,US,HK,9,,live,T,I
2016,I,,Caryophyllales,US,MT,,150,seeds,T,D
2016,I,,Caryophyllales,US,XX,11,,live,T,I
2016,I,,Caryophyllales,AU,US,,40,seeds,T,D
2016,I,,Caryophyllales,BE,US,,90,seeds,T,D
2016,I,,Caryophyllales,CA,US,,40,seeds,T,D
2016,I,,Caryophyllales,CH,US,,20,seeds,T,D
2016,I,,Caryophyllales,CN,US,,140,seeds,T,D
2016,I,,Caryophyllales,DE,TH,4,,live,P,D
2016,I,,Caryophyllales,IN,US,,30,seeds,T,D
2016,I,,Caryophyllales,IT,US,,60,seeds,T,D
2016,I,,Caryophyllales,JP,US,,30,seeds,T,D
2016,I,,Caryophyllales,NZ,US,,10,seeds,T,D
2016,I,,Caryophyllales,PL,US,,30,seeds,T,D
2016,I,,Caryophyllales,US,CZ,,4,live,T,D
2016,I,,Caryophyllales,US,MX,279,,live,T,I
2016,I,,Caryophyllales,BE,US,,310,seeds,T,D
2016,I,,Caryophyllales,CA,US,,5060,seeds,T,D
2016,I,,Caryophyllales,CH,DE,,12,live,T,D
2016,I,,Caryophyllales,CH,DE,,120,seeds,T,D
2016,I,,Caryophyllales,CH,US,,50,seeds,T,D
2016,I,,Caryophyllales,CN,US,,5210,seeds,T,D
2016,I,,Caryophyllales,DE,TH,1,,live,P,D
2016,I,,Caryophyllales,GB,US,,1,dried plants,S,D
